ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( ft);LOCATION Speed ( Kmh);LOCATION Accuracy ( ft);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
-1.084; 5.1041; 8.1351; 0.4112; 0.7361; 0.3385; 93.84; -29.51; -6.67; 44.926327; -93.09771; ; ; 171.0; 64.9; 60.0; 3.803; 5; 
-1.1962; 7.1192; 6.5924; 0.1629; 0.0177; 0.314; 79.73; -42.93; -11.56; 44.926327; -93.09771; ; ; 171.0; 64.9; 60.0; 3.803; 505; 
2.1652; 2.0729; 7.4279; -2.1095; -1.1856; -1.741; 71.75; -31.83; 1.81; 44.926327; -93.09771; ; ; 171.0; 64.9; 60.0; 3.803; 1011; 
0.3772; 0.8995; 9.7549; 0.4656; 1.0207; 0.2; 93.08; -6.1; 0.33; 44.926327; -93.09771; ; ; 171.0; 64.9; 60.0; 3.803; 1532; 
1.1177; 3.0293; 9.522; -0.0279; 0.0; 0.0; 85.54; -14.17; 5.16; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 2032; 
1.0713; 2.5941; 9.3394; -0.0265; 0.0292; 0.0; 78.97; -13.87; 5.17; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 2533; 
1.043; 2.619; 9.4025; -0.023; 0.0268; 0.0; 76.46; -13.78; 5.2; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 3034; 
1.1146; 2.5616; 9.3515; 0.0; 0.0; 0.0; 72.22; -13.64; 5.21; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 3534; 
1.0608; 2.5705; 9.3731; -0.018; 0.0274; 0.0; 70.36; -13.58; 5.21; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 4043; 
1.0685; 2.544; 9.4196; -0.024; 0.0228; 0.0; 70.01; -13.54; 5.28; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 4543; 
1.1022; 2.611; 9.3623; -0.0344; 0.03; 0.0; 69.19; -13.52; 5.24; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 5088; 
1.0814; 2.646; 9.3841; -0.0212; 0.0255; 0.0; 68.47; -13.58; 5.32; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 5588; 
1.1108; 2.5531; 9.334; 0.0; 0.0; 0.0; 68.21; -13.64; 5.33; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 6094; 
1.0332; 2.5628; 9.2493; -0.0207; 0.0272; 0.0; 68.37; -13.68; 5.35; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 6595; 
1.1046; 2.5987; 9.2732; 0.0; 0.0; 0.0; 68.11; -13.81; 5.4; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 7096; 
1.0811; 2.549; 9.2786; 0.0; 0.0; 0.0; 68.25; -14.3; 5.84; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 7606; 
1.1545; 2.5573; 9.2539; 0.0; -0.0286; 0.0; 67.5; -14.71; 6.17; 44.92626; -93.097466; 760.3; 0.0; 22.6; 64.9; 60.0; 3.803; 8109; 
1.1255; 2.5754; 9.2768; 0.0; 0.0225; 0.0; 66.46; -14.93; 6.31; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 8609; 
1.2105; 2.5482; 9.2241; 0.0; 0.0268; 0.0; 65.34; -15.1; 6.47; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 9110; 
1.1508; 2.5519; 9.2731; 0.0; 0.0; 0.0; 64.94; -15.14; 6.51; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 9610; 
1.1876; 2.545; 9.2871; 0.0; 0.0; 0.0; 64.22; -15.24; 6.66; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 10110; 
1.1116; 2.555; 9.2341; 0.0; 0.0; 0.0; 64.48; -15.32; 6.72; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 10671; 
1.1209; 2.6076; 9.2364; 0.0; 0.0; 0.0; 63.45; -15.35; 6.78; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 11175; 
1.0932; 2.5661; 9.2353; 0.0; 0.0183; 0.0; 63.56; -15.37; 6.8; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 11675; 
1.1327; 2.5687; 9.2478; 0.0; 0.0; 0.0; 63.25; -15.35; 6.77; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 12176; 
1.1185; 2.6219; 9.2903; 0.0; 0.0; 0.0; 63.66; -15.4; 6.74; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 12676; 
1.1182; 2.5868; 9.2927; 0.0; 0.0341; 0.0; 63.91; -15.41; 6.72; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 13177; 
1.0544; 2.4952; 9.2333; 0.0; 0.0213; 0.0; 63.69; -15.37; 6.68; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 13677; 
1.0846; 2.5576; 9.0949; 0.0; 0.0; 0.0; 63.67; -15.37; 6.72; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 14178; 
1.1034; 2.5652; 9.2538; 0.0; 0.0; 0.0; 64.53; -15.39; 6.72; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 14678; 
1.1529; 2.5871; 9.2603; 0.0; 0.0; 0.0; 64.24; -15.38; 6.75; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 15178; 
1.0953; 2.5699; 9.2999; 0.0; 0.0; 0.0; 63.46; -15.38; 6.81; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 15678; 
1.1132; 2.5398; 9.2527; 0.0; 0.0; 0.0; 63.93; -15.37; 6.89; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 16179; 
1.1596; 2.5241; 9.1801; 0.0; -0.0181; 0.0; 64.29; -15.36; 6.87; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 16679; 
1.0812; 2.619; 9.2948; 0.0; 0.0278; 0.0; 64.53; -15.39; 6.8; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 17179; 
1.0867; 2.6014; 9.2343; 0.0; 0.0; 0.0; 64.49; -15.42; 6.76; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 17679; 
1.1293; 2.3268; 9.2978; 0.0; -0.0383; 0.0; 68.51; -15.97; 6.13; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 18180; 
-0.6294; 3.2617; 8.1245; 0.0421; -0.7663; -2.484; 89.12; -21.26; -8.33; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 18680; 
-3.9028; 0.7362; 9.2705; 0.0592; 0.1845; -0.3491; 153.11; -5.22; -17.28; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 19180; 
-2.5773; 0.8564; 9.2508; -0.0655; 0.0235; 0.2723; 136.18; -4.06; -17.93; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 19680; 
-3.0733; 0.4941; 9.3493; -0.0282; 0.0; 0.0272; 129.37; -3.51; -17.8; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 20231; 
-2.992; 0.5579; 9.3758; 0.0; 0.0; 0.0; 125.18; -3.45; -17.55; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 20771; 
-2.9495; 0.5308; 9.3882; 0.0; -0.0192; 0.0; 123.06; -3.32; -17.62; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 21286; 
-2.5498; 0.5976; 9.5632; 0.0; 0.0; 0.0; 122.11; -3.19; -17.39; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 21786; 
-2.5296; 0.5515; 9.581; 0.0; 0.0246; 0.0; 121.33; -3.2; -16.54; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 22286; 
-2.1016; 0.5914; 9.6608; 0.0; 0.0; 0.0; 121.28; -3.2; -15.64; 44.926254; -93.09783; ; ; 203.2; 64.9; 60.0; 3.803; 22788; 
-1.9301; 0.4645; 9.6498; 0.0; 0.0; -0.0343; 121.84; -3.21; -14.0; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 23288; 
-1.9091; 0.2377; 9.8905; 0.0262; 0.0; 0.0; 123.21; -2.77; -12.5; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 23790; 
-2.0814; 0.5386; 9.6446; 0.0; 0.0432; 0.0; 123.94; -2.72; -11.56; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 24291; 
-2.3404; 0.3212; 9.8176; 0.0; 0.0217; 0.0; 123.18; -2.54; -12.19; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 24791; 
-2.3347; 0.4567; 9.5489; 0.0; 0.0312; 0.0401; 121.69; -2.6; -12.43; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 25291; 
-3.0474; 0.816; 10.3656; 0.0286; 0.0; 0.0429; 120.28; -2.91; -13.41; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 25797; 
-2.5594; 0.6959; 9.124; 0.0; 0.0; 0.0256; 119.58; -3.32; -14.14; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 26297; 
-3.1721; 0.3693; 9.3204; 0.0; 0.0; 0.0; 120.17; -3.54; -16.34; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 26797; 
-3.6726; 0.7092; 9.078; 0.0; 0.0; 0.0562; 119.24; -3.53; -18.18; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 27297; 
-3.5666; 0.8365; 8.9601; 0.0; -0.0288; 0.029; 118.31; -4.16; -19.3; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 27798; 
-3.5927; 0.7202; 8.8924; 0.0; 0.0402; 0.0309; 117.72; -4.6; -21.22; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 28300; 
-3.4141; 1.0296; 8.5293; 0.021; 0.0995; 0.0; 118.16; -4.77; -21.76; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 28800; 
-3.871; 0.9811; 9.2074; -0.0289; 0.0; 0.0739; 118.29; -5.05; -23.65; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 29302; 
-4.6251; 0.6522; 8.2628; 0.0; -0.1035; 0.1207; 115.33; -4.81; -23.96; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 29803; 
-4.5577; 0.9559; 9.2056; 0.0; -0.05; 0.0479; 114.83; -5.55; -23.05; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 30312; 
-4.4931; 0.8462; 8.9062; 0.0; -0.0209; 0.0; 115.26; -5.51; -23.74; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 30829; 
-2.5252; 0.8261; 9.4543; 0.0; -0.0347; 0.0; 115.5; -5.37; -24.13; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 31329; 
-2.8779; 0.7552; 9.3704; 0.0; 0.0; 0.0; 115.75; -5.04; -21.4; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 31829; 
-2.9071; 0.7573; 9.3308; 0.0; 0.0; 0.0; 115.96; -4.81; -19.94; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 32329; 
-2.8887; 0.766; 9.3332; 0.0; 0.0; 0.0; 116.36; -4.68; -19.07; 44.926136; -93.09764; ; ; 180.6; 64.9; 60.0; 3.803; 32829; 
-2.8805; 0.7306; 9.299; 0.0; 0.0209; 0.0; 116.89; -4.59; -18.56; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 33330; 
-2.9083; 0.7392; 9.3428; 0.0; 0.0273; 0.0; 117.27; -4.48; -18.17; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 33830; 
-2.8986; 0.7417; 9.3295; 0.0; 0.0; 0.0; 117.42; -4.47; -18.05; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 34330; 
-2.9064; 0.7698; 9.318; 0.0; 0.0; 0.0; 117.64; -4.46; -17.85; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 34830; 
-2.9008; 0.7205; 9.3576; 0.0; 0.0; 0.0; 117.83; -4.47; -17.7; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 35330; 
-2.9062; 0.7549; 9.4487; 0.0; 0.0; 0.0; 118.12; -4.42; 17.55; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 35837; 
-2.923; 0.7836; 9.3988; 0.0; 0.0; 0.0; 117.97; -4.43; -17.41; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 36337; 
-2.846; 0.7444; 9.3716; 0.0; 0.0; 0.0; 118.14; -4.4; -17.26; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 36837; 
-2.1807; 0.6329; 9.5581; 0.0; -0.0206; 0.0; 118.11; -4.3; -15.74; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 37340; 
-2.1515; 0.5648; 9.7042; -0.0272; 0.0; 0.0452; 117.38; -4.24; -14.25; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 37841; 
-1.9542; 0.4227; 9.5711; -0.1475; 0.0; 0.125; 114.75; -3.05; -13.29; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 38374; 
-2.184; 0.3509; 9.7453; -0.0484; 0.0; 0.2177; 109.39; -2.68; -14.08; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 38874; 
-2.3673; 0.6866; 9.5572; -0.0697; 0.081; 0.3978; 107.66; -3.1; -14.04; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 39376; 
-2.2739; 1.2146; 9.4793; -0.1134; 0.1119; 0.4277; 100.81; -2.92; -13.69; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 39876; 
-3.221; 1.2866; 9.2847; -0.1113; 0.0277; 0.3392; 98.47; -4.11; -15.48; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 40376; 
-3.249; 0.9127; 9.2; -0.0527; 0.0; 0.1804; 99.01; -4.43; -17.03; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 40892; 
-3.2993; 0.7377; 9.1584; -0.0367; 0.0415; 0.0972; 101.57; -4.48; -17.94; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 41392; 
-4.3215; 0.6211; 8.968; 0.0; 0.0351; 0.0287; 104.36; -4.32; -19.52; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 41910; 
-4.4848; 0.1325; 9.0315; -0.0311; 0.0; 0.0; 105.68; -3.9; -20.87; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 42412; 
-4.8953; -0.1641; 8.9533; -0.0501; 0.0; 0.0818; 107.0; -2.48; -23.12; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 42912; 
-5.2229; -0.5606; 8.8119; -0.0991; -0.0301; 0.1894; 101.92; -0.52; -26.27; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 43504; 
-4.6582; -0.5636; 8.8298; -0.0874; -0.0418; 0.1447; 99.23; 0.11; -27.22; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 44005; 
-4.5875; -0.3868; 8.8939; 0.0; -0.0322; 0.0978; 100.11; 0.09; -26.99; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 44506; 
-3.7368; -0.0172; 9.0396; 0.0; 0.0; 0.0344; 102.49; -0.11; -25.89; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 45007; 
-3.7311; 0.0431; 9.1003; -0.0339; -0.0525; 0.0202; 103.25; -0.21; -24.77; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 45509; 
-2.8579; 0.1271; 9.5934; -0.0552; 0.0; 0.0; 104.59; -0.31; -22.63; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 46016; 
-2.8109; 0.0668; 9.5626; 0.0; 0.0; 0.0; 105.56; -0.32; -20.16; 44.92622; -93.09765; 838.1; 0.0; 22.6; 64.9; 60.0; 3.803; 46526; 
-2.1085; 0.0702; 9.7898; -0.038; -0.0341; -0.0247; 105.78; -0.38; -19.1; 44.92622; -93.09765; 838.1; 0.0; 22.6; 65.7; 60.0; 3.792; 47026; 
-1.2736; 0.0361; 9.8979; 0.0; -0.0308; 0.0; 105.9; -0.22; -15.76; 44.92622; -93.09765; 838.1; 0.0; 22.6; 65.7; 60.0; 3.792; 47528; 
-1.5045; 0.263; 10.1089; 0.0; 0.0214; 0.0; 106.31; -0.48; -13.2; 44.926434; -93.09768; 887.1; 12.599999; 29.0; 65.7; 60.0; 3.792; 48028; 
-2.7733; 0.3295; 9.3526; -0.0623; 0.0; -0.0236; 107.47; -0.72; 13.92; 44.926434; -93.09768; 887.1; 12.599999; 29.0; 65.7; 60.0; 3.792; 48531; 
-2.8531; -0.0807; 9.0551; -0.0175; 0.0574; 0.0; 106.96; -0.08; -15.96; 44.926434; -93.09768; 887.1; 12.599999; 29.0; 65.7; 60.0; 3.792; 49031; 
-3.9233; 0.284; 9.0934; 0.0231; 0.0209; -0.0394; 106.83; 0.25; -17.46; 44.926434; -93.09768; 887.1; 12.599999; 29.0; 65.7; 60.0; 3.792; 49546; 
-4.5945; 0.1572; 9.4097; 0.0412; -0.0453; 0.0; 107.75; -0.29; -20.6; 44.926434; -93.09768; 887.1; 12.599999; 29.0; 65.7; 60.0; 3.792; 50047; 
-4.4052; 0.0727; 8.7354; -0.0507; -0.0815; -0.0231; 107.71; -0.52; -22.9; 44.926434; -93.09768; 887.1; 12.599999; 29.0; 65.7; 60.0; 3.792; 50575; 
-4.3314; -0.0367; 8.5379; 0.0; -0.1038; 0.0; 107.3; -0.35; -23.25; 44.926434; -93.09768; 887.1; 12.599999; 29.0; 65.7; 60.0; 3.792; 51075; 
-4.4573; 0.2425; 9.6789; 0.0; 0.0476; 0.0; 106.18; -0.32; -23.68; 44.926434; -93.09768; 887.1; 12.599999; 29.0; 65.7; 60.0; 3.792; 51575; 
-4.2471; -0.0995; 8.8887; -0.0454; -0.0547; -0.0231; 105.86; 0.64; -24.03; 44.926605; -93.09777; 890.6; 19.8; 25.8; 65.7; 60.0; 3.792; 52076; 
-2.7508; 0.1129; 8.8477; 0.0345; -0.1081; 0.0195; 106.13; -0.29; -23.21; 44.926605; -93.09777; 890.6; 19.8; 25.8; 65.7; 60.0; 3.792; 52593; 
-2.6951; 0.098; 9.594; 0.0; 0.0; -0.0262; 106.3; -0.41; -20.93; 44.926605; -93.09777; 890.6; 19.8; 25.8; 65.7; 60.0; 3.792; 53093; 
-3.487; 0.1184; 9.287; 0.0324; 0.0467; 0.0; 106.72; -0.72; -20.64; 44.926605; -93.09777; 890.6; 19.8; 25.8; 65.7; 60.0; 3.792; 53593; 
-3.7365; 0.3278; 9.2117; 0.0258; 0.0359; 0.0; 106.47; -1.29; -21.19; 44.926605; -93.09777; 890.6; 19.8; 25.8; 65.7; 60.0; 3.792; 54093; 
-3.4324; 0.1151; 9.2491; 0.0173; 0.0316; 0.0; 106.42; -1.2; -21.3; 44.926605; -93.09777; 890.6; 19.8; 25.8; 65.7; 60.0; 3.792; 54645; 
-3.584; 0.1145; 9.0939; 0.0; -0.0504; 0.0; 106.38; -1.08; -21.28; 44.926605; -93.09777; 890.6; 19.8; 25.8; 65.7; 60.0; 3.792; 55145; 
-3.4891; -0.0012; 9.4163; 0.0; 0.0583; 0.0; 106.43; -0.74; -20.92; 44.926605; -93.09777; 890.6; 19.8; 25.8; 65.7; 60.0; 3.792; 55664; 
-3.4845; 0.2184; 9.2795; 0.0; -0.0397; -0.0174; 106.49; -1.0; -20.75; 44.926605; -93.09777; 890.6; 19.8; 25.8; 65.7; 60.0; 3.792; 56164; 
-3.5508; 0.3263; 9.6462; 0.0; 0.0242; 0.0; 106.68; -1.46; -20.72; 44.926605; -93.09777; 890.6; 19.8; 25.8; 65.7; 60.0; 3.792; 56664; 
-3.2318; 0.4353; 9.1816; 0.0; -0.0547; 0.0; 106.85; -1.8; -20.34; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 57164; 
-3.1276; 0.594; 9.1458; 0.0; 0.0317; -0.0246; 106.9; -2.35; -19.8; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 57664; 
-3.2523; 0.1548; 9.9122; 0.0352; 0.0871; 0.0; 106.74; -2.33; -19.52; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 58195; 
-3.0975; 0.4003; 9.188; 0.0183; 0.0; 0.0; 106.88; -1.84; -18.9; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 58695; 
-3.0451; 0.2079; 9.357; 0.0; 0.0; 0.0; 107.3; -1.64; -18.75; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 59196; 
-3.2461; -0.097; 10.4568; -0.0571; 0.103; 0.0; 106.26; -0.34; -18.51; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 59696; 
-2.7957; 0.175; 8.6194; 0.0; -0.1262; 0.0; 106.19; -0.02; -18.81; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 60196; 
-2.6472; 0.4227; 8.2493; 0.0; -0.076; 0.0; 106.75; -1.68; -17.85; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 60706; 
-3.1643; 0.4492; 9.7471; 0.0181; -0.1431; 0.0; 107.02; -2.06; -17.7; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 61211; 
-3.2354; 0.6047; 9.9335; 0.0; 0.0; 0.0; 107.08; -2.73; -18.53; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 61712; 
-3.0156; 0.4733; 9.4564; 0.0; -0.0239; 0.0; 107.04; -2.98; -18.37; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 62212; 
-3.1608; 0.5712; 9.5847; 0.0; 0.0; 0.0; 106.74; -2.86; -18.21; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 62712; 
-2.9297; 0.4233; 9.0939; 0.0; -0.0238; 0.0; 106.82; -2.65; -17.97; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 63241; 
-3.0641; 0.3844; 9.5961; 0.0287; 0.0178; 0.0; 106.92; -2.63; -17.84; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 63741; 
-2.8779; 0.041; 9.1848; 0.0383; 0.0487; 0.032; 106.89; -2.27; -17.77; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 64241; 
-2.9484; 0.4374; 9.7316; 0.0373; 0.0; 0.0481; 106.62; -1.95; -17.4; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 64741; 
-2.6299; 0.0912; 9.6422; 0.0; 0.0; 0.0; 106.86; -1.22; -16.57; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 65248; 
-2.6169; 0.1067; 9.2767; 0.0; 0.0; 0.0; 106.82; -1.27; -16.53; 44.927155; -93.09777; 878.7; 37.8; 45.2; 65.7; 60.0; 3.792; 65748; 
-2.6121; 0.1554; 9.3232; 0.0; -0.0866; 0.0; 106.93; -1.03; -16.02; 44.928276; -93.09777; 838.4; 50.399998; 29.0; 65.7; 60.0; 3.792; 66248; 
-2.5811; 0.2633; 9.4452; -0.019; -0.0791; 0.0; 107.48; -0.94; -16.03; 44.928276; -93.09777; 838.4; 50.399998; 29.0; 65.7; 60.0; 3.792; 66749; 
-2.6591; 0.3102; 9.581; 0.0; 0.0234; 0.0; 107.38; -0.94; -15.52; 44.928276; -93.09777; 838.4; 50.399998; 29.0; 65.7; 60.0; 3.792; 67251; 
-2.9135; 0.0588; 10.5352; -0.0378; 0.0; 0.0; 107.16; -0.03; -15.63; 44.928276; -93.09777; 838.4; 50.399998; 29.0; 65.7; 60.0; 3.792; 67751; 
-2.4953; -0.1485; 8.582; -0.1028; -0.0608; 0.0; 107.09; -0.68; -15.88; 44.926334; -93.09789; ; ; 209.7; 65.7; 60.0; 3.792; 68259; 
-2.2507; 0.2227; 7.4722; -0.0399; -0.1823; 0.0; 107.02; -0.84; -14.62; 44.926334; -93.09789; ; ; 209.7; 65.7; 60.0; 3.792; 68760; 
-3.1456; 0.1004; 11.5046; -0.078; 0.0193; -0.02; 107.49; 0.15; -15.79; 44.926334; -93.09789; ; ; 209.7; 65.7; 60.0; 3.792; 69260; 
-2.7965; 0.1196; 8.4974; 0.0295; 0.0; 0.0; 107.58; -0.92; -16.05; 44.926334; -93.09789; ; ; 209.7; 65.7; 60.0; 3.792; 69763; 
-2.3853; 0.163; 9.6861; -0.0398; 0.0; -0.0188; 107.36; -0.99; -15.37; 44.926334; -93.09789; ; ; 209.7; 65.7; 60.0; 3.792; 70265; 
-2.2331; -0.1223; 9.5254; 0.0; -0.0465; 0.0; 107.14; -0.58; -15.16; 44.926334; -93.09789; ; ; 209.7; 65.7; 60.0; 3.792; 70766; 
-2.088; -0.0144; 9.831; 0.0; 0.0826; 0.0; 107.07; -0.12; -14.18; 44.928883; -93.09775; 837.7; 51.3; 22.6; 65.7; 60.0; 3.792; 71266; 
-2.0016; 0.0868; 10.0209; 0.0; 0.0581; 0.0; 107.2; -0.4; -13.17; 44.928883; -93.09775; 837.7; 51.3; 22.6; 65.7; 60.0; 3.792; 71792; 
-1.8243; 0.0668; 9.9539; 0.0179; 0.0; 0.0; 107.48; -0.58; -12.49; 44.928883; -93.09775; 837.7; 51.3; 22.6; 65.7; 60.0; 3.792; 72295; 
-1.7478; 0.304; 10.2203; 0.0; 0.0; 0.0; 107.58; -0.96; -11.89; 44.928883; -93.09775; 837.7; 51.3; 22.6; 65.7; 60.0; 3.792; 72796; 
-1.975; 0.1801; 9.9083; 0.0; 0.0613; 0.0; 107.73; -1.09; -11.42; 44.928883; -93.09775; 837.7; 51.3; 22.6; 65.7; 60.0; 3.792; 73316; 
